grade,term,pathway,subject,book_type,matrix_status,rights_status,edition,blocker,source_url
1,1,general,"اللغة الإنجليزية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"اللغة العربية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"اللغة العربية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"اللغة العربية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"المهارات الرقمية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,1,general,"المهارات الرقمية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"التربية الإسلامية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"التربية الإسلامية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"التربية الرياضية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"التربية الرياضية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"التربية الفنية والموسيقية والمسرحية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"التربية الفنية والموسيقية والمسرحية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"الدراسات الاجتماعية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"الدراسات الاجتماعية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"الرياضيات",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"الرياضيات",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"الرياضيات",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"العلوم",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"العلوم",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"العلوم",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"اللغة الإنجليزية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"اللغة الإنجليزية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"اللغة الإنجليزية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"اللغة العربية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"اللغة العربية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"اللغة العربية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"المهارات الرقمية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
1,2,general,"المهارات الرقمية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/68
10,1,general,"التاريخ",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التاريخ",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الإسلامية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الإسلامية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الرياضية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الرياضية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الفنية والموسيقية والمسرحية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الفنية والموسيقية والمسرحية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية المهنية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية المهنية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الوطنية والمدنية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"التربية الوطنية والمدنية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الثقافة المالية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الثقافة المالية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الجغرافيا",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الجغرافيا",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الرياضيات",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الرياضيات",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الرياضيات",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"العلوم الحياتية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"العلوم الحياتية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الفيزياء",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الفيزياء",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الكيمياء",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"الكيمياء",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"اللغة الإنجليزية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"اللغة الإنجليزية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"اللغة الإنجليزية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"اللغة العربية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"اللغة العربية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"اللغة العربية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"المهارات الرقمية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"المهارات الرقمية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"علوم الأرض والبيئة",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,1,general,"علوم الأرض والبيئة",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التاريخ",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التاريخ",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الإسلامية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الإسلامية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الرياضية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الرياضية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الفنية والموسيقية والمسرحية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الفنية والموسيقية والمسرحية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية المهنية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية المهنية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الوطنية والمدنية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"التربية الوطنية والمدنية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الثقافة المالية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الثقافة المالية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الجغرافيا",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الجغرافيا",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الرياضيات",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الرياضيات",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الرياضيات",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"العلوم الحياتية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"العلوم الحياتية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الفيزياء",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الفيزياء",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الكيمياء",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"الكيمياء",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"اللغة الإنجليزية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"اللغة الإنجليزية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"اللغة الإنجليزية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"اللغة العربية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"اللغة العربية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"اللغة العربية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"المهارات الرقمية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"المهارات الرقمية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"علوم الأرض والبيئة",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
10,2,general,"علوم الأرض والبيئة",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"Subject list indexed from Minhaji companion — pending NCCD human verification",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/77
11,1,academic,"التربية الإسلامية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"التربية الإسلامية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"الرياضيات",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"الرياضيات",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"الرياضيات",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"العلوم الحياتية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"العلوم الحياتية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"الفيزياء",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"الفيزياء",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"الكيمياء",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"الكيمياء",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"اللغة الإنجليزية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"اللغة الإنجليزية",student,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"اللغة الإنجليزية",teacher_guide,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
11,1,academic,"اللغة العربية",activity,DISCOVERED,rights_review_required,NEEDS VERIFICATION,"edition_uncertain|source_verification_blocked_nccd_unreachable",https://www.nccd.gov.jo/ar/pages/TextBooksGrade/117
